alpha,delta,u,g,r,i,z,run_ID,cam_col,field_ID,redshift,plate,MJD,fiber_ID,class
142.48385251764986,86.28230144746877,13.733343197546352,19.147907901296385,18.928904749291338,15.646139734068303,17.23829667481736,280,2,274,0.0,2551,54631,726,STAR
285.23723358272815,-42.2209687095137,19.31710752499951,18.20425940854421,18.153992249717277,16.55564026269277,19.551399165521268,530,5,341,0.4396686684865019,1359,58505,285,GALAXY
316.54077106658593,27.0821929764042,20.883180925838708,17.49292389924809,17.034467584355646,18.61633538016841,18.282558729049907,534,4,156,0.3843533901884909,6010,58047,726,QSO
5.377299922163679,-0.09548964982027996,18.2737158687428,13.43125841950969,17.426958177373585,13.855801114385198,15.609649972200769,340,4,180,0.0001789855382898498,5269,51850,333,STAR
8.380613333611082,34.25403662430739,16.95786225059221,18.664728446587564,18.528387846628135,17.972787696930396,17.883414859343677,812,3,404,0.0010056759344563401,6715,54580,174,GALAXY
292.61422195069196,-77.34051758382947,20.10671224452565,19.370413303704986,22.371200841684253,17.21962484274449,18.36239140708504,282,4,321,0.864920006275551,7394,51742,397,QSO
288.0577149836229,-59.544492141549426,16.63936407505556,14.338001686291303,15.626215730772408,15.812513912849129,16.432886590131492,690,5,125,0.00011178945744496503,4456,55509,176,STAR
236.09251377329588,55.663467043209124,18.99424647645955,19.50123590092297,16.46175295195259,14.658039694621394,16.269942496444664,547,5,447,6.974039960372769e-05,6635,56774,163,STAR
237.74982441897515,-83.48313357790639,17.018900752108966,19.138929459531234,16.80247464852621,17.6786433979814,17.296504401182748,864,6,479,0.4743378399003238,1116,54141,233,GALAXY
117.67731901182914,80.50879314798655,21.415621593279955,19.07543173455961,16.23568487181838,16.375908047794244,17.40059147208288,488,6,142,0.12463307266309279,2876,53746,374,GALAXY
195.34908786581119,-8.919757774097363,18.15389228569546,20.611308058361733,20.475142904961025,17.704967608699572,16.27004203055088,443,2,10,0.6968898516143534,592,55179,225,GALAXY
44.574873363710836,-21.033202975274335,19.10117012088615,19.514513021579585,19.31145648545518,18.01249554918058,18.584660821577152,905,6,385,1.991475343448187,853,54923,484,QSO
2.8312883625938046,58.57071896289088,14.851293934475638,17.47547305375203,18.737115045158248,17.149884843359434,16.125371816414958,684,2,442,0.0,1103,56365,519,STAR
323.11743784754566,-82.06478000325393,19.162754515234706,19.772715304970905,19.487635765381608,19.17610959527278,17.42550926002336,153,3,222,0.49368071852788814,2811,51724,341,QSO
135.03168923959623,7.057944413202705,18.08983364844793,19.297116721438933,18.93223827242693,18.38586050360772,16.639282672547985,1,1,394,0.6854823114041035,7627,57697,907,GALAXY
68.19756569980792,-50.40983607444498,20.19716829315079,18.829159179726467,18.035217549662903,17.34057235579331,18.12257965505859,735,5,204,0.26502753130343876,712,55166,733,GALAXY
16.06102981022371,-74.01386123747858,19.92499856903538,18.36487367566721,15.027512061425298,16.90124727403153,18.620000592467196,692,4,493,0.038533088025608224,2786,53758,244,GALAXY
331.5431474912608,-72.1622536631813,22.100284557663166,19.3909606095991,20.999919338231397,16.38297615999343,14.807514212656418,429,5,498,7.605555119126708e-05,5031,51404,810,GALAXY
184.15387809601916,-52.99948691018112,20.62726378341935,19.218038467738253,18.626019689013535,19.840848432542813,19.88575564259393,990,2,29,1.3491990440899146,2868,57059,10,QSO
0.004740680234691652,-79.30044480882428,16.15781821456478,16.960594274615357,14.929303867383185,14.194708613906919,18.500844668627607,45,5,214,0.0,6423,53062,718,STAR
